ID,Año del hecho,Sexo de la victima,Grupo de edad de la victima,Mes del hecho,Dia del hecho,Departamento del hecho DANE,Municipio del hecho DANE,Lesion fatal de causa externa,Estado
1,2016,Hombre,(25 a 29),Enero,Sábado,Meta,San Carlos de Guaroa,Violenta - Muertes en accidentes de transporte,Datos definitivos
2,2016,Hombre,(35 a 39),Enero,Domingo,Meta,Acacías,Violenta - Muertes en accidentes de transporte,Datos definitivos
3,2016,Hombre,(25 a 29),Enero,Lunes,Cesar,San Alberto,Violenta - Muertes en accidentes de transporte,Datos definitivos
4,2016,Mujer,(30 a 34),Enero,Lunes,Cesar,Aguachica,Violenta - Muertes en accidentes de transporte,Datos definitivos
5,2016,Hombre,(65 a 69),Enero,Domingo,Cesar,Aguachica,Violenta - Muertes en accidentes de transporte,Datos definitivos
6,2016,Hombre,(15 a 17),Enero,Viernes,Antioquia,Andes,Violenta - Muertes en accidentes de transporte,Datos definitivos
7,2016,Hombre,(00 a 04),Enero,Sábado,Risaralda,Pueblo Rico,Violenta - Muertes en accidentes de transporte,Datos definitivos
8,2016,Hombre,(20 a 24),Enero,Domingo,Arauca,Arauca,Violenta - Muertes en accidentes de transporte,Datos definitivos
9,2016,Hombre,(35 a 39),Enero,Sábado,Quindío,La Tebaida,Violenta - Muertes en accidentes de transporte,Datos definitivos
10,2016,Hombre,(15 a 17),Enero,Domingo,Quindío,Circasia,Violenta - Muertes en accidentes de transporte,Datos definitivos
11,2016,Hombre,(15 a 17),Enero,Sábado,Quindío,Circasia,Violenta - Muertes en accidentes de transporte,Datos definitivos
12,2016,Mujer,(70 a 74),Enero,Domingo,Valle del Cauca,Caicedonia,Violenta - Muertes en accidentes de transporte,Datos definitivos
13,2016,Hombre,(50 a 54),Enero,Viernes,Quindío,Calarcá,Violenta - Muertes en accidentes de transporte,Datos definitivos
14,2016,Hombre,(30 a 34),Enero,Domingo,Quindío,Armenia,Violenta - Muertes en accidentes de transporte,Datos definitivos
15,2016,Mujer,(60 a 64),Enero,Miércoles,Quindío,Armenia,Violenta - Muertes en accidentes de transporte,Datos definitivos
