Departamento,Municipio,Programa,Año de Asignación,Estado de Postulación,Hogares,Valor Asignado
AMAZONAS,LETICIA,Bolsa Desastres Naturales,2008,Asignados,218,1985478600.00
AMAZONAS,LETICIA,Bolsa Desastres Naturales,2009,Apto con subsidio vencido,8,72861600.00
AMAZONAS,LETICIA,Bolsa Desastres Naturales,2009,Renuncias al subsidio,2,18215400.00
AMAZONAS,LETICIA,Bolsa Desplazados,2004,Asignados,19,85025000.00
AMAZONAS,LETICIA,Bolsa Desplazados,2005,Asignados,11,49225000.00
AMAZONAS,LETICIA,Bolsa Desplazados,2006,Asignados,16,81600000.00
AMAZONAS,LETICIA,Bolsa Desplazados,2007,Asignados,29,157216250.00
AMAZONAS,LETICIA,Bolsa Desplazados,2008,Asignados,32,190368473.10
AMAZONAS,LETICIA,Bolsa Desplazados,2009,Asignados,3,18633750.00
AMAZONAS,LETICIA,Bolsa Desplazados,2010,Asignados,2,30900000.00
AMAZONAS,LETICIA,Bolsa Esfuerzo Territorial,2005,Asignados,54,405972000.00
AMAZONAS,LETICIA,Bolsa Esfuerzo Territorial,2005,Restitución SFV por Vencimiento Vigencia,4,30072000.00
AMAZONAS,LETICIA,Bolsa Ordinaria,2003,Apto con subsidio vencido,10,69225000.00
AMAZONAS,LETICIA,Bolsa Ordinaria,2003,Asignados,10,68889000.00
AMAZONAS,LETICIA,Habilitación de Titulos,2005,Apto con subsidio vencido,9,954000.00
AMAZONAS,LETICIA,Habilitación de Titulos,2005,Asignados,215,22790000.00
AMAZONAS,LETICIA,Habilitación de Titulos,2005,Subsidio Revocado,35,3710000.00
AMAZONAS,LETICIA,Programa de Vivienda Gratuita Fase I,2015,Asignados,139,7778084160.00
AMAZONAS,LETICIA,Programa de Vivienda Gratuita Fase I,2015,Renuncias al subsidio,4,223829760.00
AMAZONAS,LETICIA,Programa de Vivienda Gratuita Fase I,2015,Subsidio revocado mediante procedimiento Administrativo Sancionatorio,1,55957440.00
AMAZONAS,LETICIA,Programa de Vivienda Gratuita Fase I,2016,Asignados,54,3022034400.00
AMAZONAS,LETICIA,Programa de Vivienda Gratuita Fase I,2016,Renuncias al subsidio,2,111927200.00
AMAZONAS,LETICIA,Programa de Vivienda Gratuita Fase I,2017,Asignados,2,111921040.00
AMAZONAS,LETICIA,Programa de Vivienda Gratuita Fase I,2019,Asignados,1,55957440.00
AMAZONAS,LETICIA,Programa de Vivienda Gratuita Fase II,2020,Asignados,40,3397102643.00
AMAZONAS,PUERTO NARIÑO,Bolsa Desplazados,2004,Asignados,1,4475000.00
ANTIOQUIA,ABEJORRAL,Bolsa Atentados terroristas,2007,Asignados,3,27323100.00
ANTIOQUIA,ABEJORRAL,Bolsa Atentados terroristas,2009,Asignados,1,10931800.00
ANTIOQUIA,ABEJORRAL,Bolsa Concejales,2011,Asignados,1,11247600.00
